feature,mean_drop,std_drop
has_higher_education,0.01647619492105388,0.0020786921958424937
history_has_any,0.00499157958005636,0.0006095892921564656
languages_count,0.0030986098564929733,0.0006359585696796775
history_short_job_share_12m,0.0028868017277890123,0.0009162676194397156
salary_per_history_experience_log,0.0012586357829245554,0.0004005498765076658
salary_log,0.0008443537387667676,0.0002444787738927658
history_short_job_share_6m,0.0008395557786848862,0.00040831435902739474
history_job_count,0.0006138335657436045,0.00037716496251282463
history_career_span_months,0.0005344055174795858,0.0006885322385902796
education_count,0.0005132944931194982,0.000284172470358737
history_max_gap_months,0.0004224821941158252,0.00016466997000589263
courses_count,0.00034279243893828857,0.0002835699173738752
skills_count,0.00021102300796327356,6.66170766008717e-05
history_median_job_duration_months,8.636328147293426e-06,4.25396964971604e-05
history_max_job_duration_months,4.797960081814878e-06,3.388180964388071e-05
history_min_job_duration_months,-1.2212989299431598e-06,3.3599199739360334e-05
history_avg_job_duration_months,-3.210271472944282e-05,3.6910675650941985e-05
salary_missing,-4.117522106601434e-05,0.00025647449625345865
history_avg_gap_months,-0.000147864406158682,0.00021505009119142705
full_time_requested,-0.0001759542815469528,0.0001899475837870069
relocation_restricted,-0.00020613781224361195,0.0001540462806371248
about_length_log,-0.00042492479197571155,0.00017625277905723756
