epoch,loss,train_cindex,val_cindex,lr
1,5.394454741477967,0.5827224842639178,0.5754708216419404,0.00011999999999999999
2,5.351671123504639,0.6265169294237504,0.6177722547926169,0.00017999999999999998
3,5.293699884414673,0.6566551717816828,0.648237120421383,0.00023999999999999998
4,5.211521100997925,0.7319201966912802,0.7248016588728894,0.0003
5,4.96148362159729,0.788002575544163,0.7815222706040763,0.0003
6,4.772570371627808,0.7975535140218776,0.7876025945623409,0.0002999179886011389
7,4.724057841300964,0.8011743083484965,0.79065060774888,0.00029967204408281613
8,4.698219919204712,0.8036912674053004,0.792440246859408,0.0002992624353817517
9,4.684631705284119,0.8049952396239615,0.7932388891239405,0.00029868961039904624
10,4.671131014823914,0.80677107466813,0.7938124634428155,0.00029795419551040833
11,4.667564034461975,0.8075083633435373,0.793902752327992,0.0002970569948812214
12,4.654516267776489,0.8091141904849019,0.7940802768510203,0.0002959989895872009
13,4.658138966560363,0.8106558371219843,0.7948296309801666,0.0002947813365416023
14,4.642179775238037,0.8101923806338013,0.7947711831028059,0.0002934053672301536
15,4.6433841466903685,0.8129271747689101,0.7949286434291283,0.00029187258625509513
16,4.64357328414917,0.8117693352853372,0.7947362888476652,0.0002901846696899191
17,4.629678654670715,0.8146559991804194,0.7950874122900183,0.0002883434632466077
18,4.6274522066116335,0.8147042529900284,0.7952758412677781,0.00028635098025737434
19,4.624184918403626,0.8148006675373148,0.7952597026747755,0.0002842093994731145
20,4.620656299591064,0.8149162356473668,0.7950381241546322,0.00028192106268097334
21,4.615753555297852,0.8171972398467359,0.794776417241077,0.0002794884721436361
22,4.611366653442383,0.817900542560149,0.794523433891307,0.0002769142878631403
23,4.6114277124404905,0.8189847392370541,0.7941295649864065,0.000274201324672203
24,4.601450634002686,0.8198915729492283,0.7941452674012198,0.0002713525491562421
25,4.602968001365662,0.8198383672557433,0.7949016003813942,0.00026837107640945905
26,4.595474743843079,0.8198572466253944,0.7950887208245861,0.00026526016662852886
27,4.592937779426575,0.8226213388909789,0.7928554884955822,0.0002620232215476231
28,4.596917939186096,0.8233530881276229,0.7931503449515209,0.00025866378071866334
29,4.5931969165802,0.8211275850137039,0.7944828693197059,0.00025518551764087326
30,4.584177541732788,0.8230772635686899,0.7941788531217927,0.00025159223574386114
31,4.585939240455628,0.8246371974051832,0.7939036246843706,0.00024788786422862526
32,4.5885902643203735,0.8233916393059618,0.7942826635308363,0.00024407645377103054
33,4.578948235511779,0.8246520808665058,0.7936955676880942,0.00024016217209245374
